trip_id,ts,lat,lng
T000000,1787484600000,12.902400,77.553500
T000000,1787484720000,12.905600,77.553300
T000000,1787484840000,12.903800,77.555400
T000000,1787484960000,12.903800,77.555500
T000000,1787485080000,12.907100,77.558100
T000000,1787485200000,12.905300,77.557400
T000000,1787485320000,12.907400,77.556800
T000000,1787485440000,12.908200,77.558500
T000000,1787485560000,12.909400,77.562000
T000000,1787485680000,12.912100,77.560200
T000000,1787485800000,12.911100,77.561200
T000000,1787485920000,12.914200,77.561800
T000000,1787486040000,12.912600,77.565600
T000000,1787486160000,12.914600,77.566900
T000000,1787486280000,12.914800,77.564300
T000000,1787486400000,12.919600,77.566000
T000000,1787486520000,12.917100,77.567400
T000000,1787486640000,12.921800,77.569200
T000000,1787486760000,12.922000,77.568400
T000000,1787486880000,12.919400,77.571700
T000001,1781890200000,12.901300,77.554000
T000001,1781890320000,12.904200,77.555700
T000001,1781890440000,12.905300,77.556600
T000001,1781890560000,12.906900,77.556100
T000001,1781890680000,12.906900,77.557000
T000001,1781890800000,12.905000,77.555400
T000001,1781890920000,12.907000,77.556400
T000001,1781891040000,12.910300,77.557100
T000001,1781891160000,12.911300,77.561900
T000001,1781891280000,12.909000,77.562800
T000001,1781891400000,12.912300,77.560400
T000001,1781891520000,12.914900,77.562600
T000001,1781891640000,12.914600,77.565700
T000001,1781891760000,12.916600,77.565800
T000001,1781891880000,12.917600,77.566900
T000001,1781892000000,12.919900,77.568600
T000001,1781892120000,12.918500,77.570900
T000001,1781892240000,12.919900,77.571500
T000001,1781892360000,12.922100,77.569200
T000001,1781892480000,12.923500,77.571700
T000002,1781944200000,12.900900,77.553600
T000002,1781944320000,12.902000,77.555000
T000002,1781944440000,12.905800,77.556600
T000002,1781944560000,12.905400,77.553500
T000002,1781944680000,12.906800,77.554900
T000002,1781944800000,12.906100,77.557800
T000002,1781944920000,12.908800,77.557300
T000002,1781945040000,12.908300,77.560300
T000002,1781945160000,12.911900,77.558800
T000002,1781945280000,12.913900,77.561100
T000002,1781945400000,12.914000,77.560400
T000002,1781945520000,12.914800,77.563500
T000002,1781945640000,12.913500,77.562600
T000002,1781945760000,12.917800,77.567500
T000002,1781945880000,12.916000,77.566500
T000002,1781946000000,12.919600,77.565800
